epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,35331.8,1.02109,0.72986,1.172,0.70934,0.65045,0.69453,0.42188,1.64844,1.24296,1.75857,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,35674,1.02075,0.73149,1.17647,0.71077,0.64779,0.69335,0.42145,1.64922,1.24569,1.7595,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,36015.5,1.00635,0.72034,1.16692,0.70739,0.65271,0.6937,0.4206,1.65031,1.24869,1.76123,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,36356.4,1.0027,0.70995,1.1612,0.71503,0.65238,0.69477,0.42063,1.65187,1.25119,1.76315,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,36697.3,0.99227,0.70831,1.15505,0.71181,0.6479,0.69284,0.41891,1.65321,1.25482,1.76471,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,37038.7,0.99212,0.70211,1.15585,0.71463,0.65225,0.69484,0.41951,1.65485,1.25868,1.76668,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,37380.1,0.97954,0.69678,1.14836,0.71363,0.6508,0.69396,0.4196,1.65611,1.26263,1.76811,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,37720.9,0.98188,0.69352,1.14724,0.71012,0.64525,0.68955,0.41962,1.65789,1.26643,1.77022,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,38061.7,0.97521,0.68613,1.14653,0.71026,0.64579,0.68919,0.41974,1.65951,1.26996,1.77223,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,38403.4,0.96739,0.68406,1.14104,0.72254,0.63707,0.68985,0.41998,1.66089,1.27338,1.77391,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,38744,0.95885,0.6786,1.13539,0.72725,0.63583,0.68997,0.42043,1.66247,1.27674,1.77632,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,39085.6,0.95531,0.67044,1.13301,0.71534,0.64144,0.6902,0.42147,1.66459,1.27954,1.77894,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,39426.5,0.9463,0.66144,1.13002,0.71235,0.64218,0.69006,0.42128,1.66575,1.28311,1.78051,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,39768.3,0.94358,0.66501,1.12756,0.72287,0.64308,0.69493,0.42092,1.66723,1.28638,1.78263,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,40109.4,0.93546,0.6564,1.12352,0.75309,0.61974,0.68907,0.42013,1.66884,1.29019,1.78526,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,40450.7,0.92868,0.65478,1.11699,0.75504,0.6191,0.68856,0.42076,1.66963,1.2941,1.78689,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,40791.5,0.92429,0.64606,1.11433,0.76461,0.62157,0.69374,0.4218,1.67165,1.29954,1.78976,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,41133.3,0.91693,0.64058,1.10821,0.76225,0.6162,0.68835,0.42117,1.67328,1.30328,1.79236,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,41474.7,0.9163,0.64148,1.11192,0.77182,0.61733,0.69284,0.42054,1.67483,1.30781,1.7948,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,41816.4,0.91052,0.63502,1.10611,0.77483,0.612,0.69085,0.42054,1.67636,1.3118,1.79732,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,42157.3,0.90074,0.62964,1.10152,0.77784,0.6177,0.6919,0.42097,1.67748,1.31658,1.79931,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,42498.2,0.89599,0.62521,1.10168,0.77986,0.61407,0.69145,0.41995,1.67866,1.32054,1.80135,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,42838.4,0.88924,0.62034,1.09508,0.78138,0.61092,0.69001,0.42019,1.68,1.32542,1.80382,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,43178.6,0.87687,0.60889,1.08661,0.7869,0.61139,0.68929,0.41928,1.68132,1.33087,1.80602,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,43519.7,0.87597,0.60646,1.08409,0.78798,0.61158,0.68883,0.4206,1.68339,1.33607,1.80861,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,43860.6,0.86726,0.60443,1.08243,0.78464,0.60653,0.68692,0.41992,1.68506,1.34085,1.81139,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,44201.3,0.85893,0.59575,1.07562,0.78225,0.60325,0.68622,0.41835,1.68656,1.34666,1.81372,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,44541.9,0.85344,0.59247,1.07382,0.76937,0.60945,0.68658,0.41961,1.68852,1.3525,1.81722,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,44882.3,0.84613,0.5854,1.06954,0.75226,0.61955,0.68707,0.41907,1.6899,1.35754,1.81972,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,45222.4,0.8418,0.57643,1.06436,0.74775,0.62508,0.68757,0.41807,1.69155,1.36236,1.82264,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,45563.4,0.83743,0.57967,1.0645,0.74822,0.62251,0.6861,0.41777,1.69311,1.36655,1.82601,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,45904,0.8279,0.57351,1.05904,0.75257,0.62135,0.68473,0.41742,1.69534,1.37152,1.82966,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,46244.4,0.82046,0.56911,1.05658,0.76223,0.61792,0.68438,0.41732,1.69678,1.37725,1.83275,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,46589.7,0.77476,0.46797,1.04755,0.7624,0.61974,0.68542,0.41743,1.69822,1.38278,1.83598,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,46928.1,0.75292,0.44712,1.03096,0.74379,0.62531,0.68332,0.41655,1.69978,1.38902,1.83877,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,47266.1,0.74292,0.44571,1.02756,0.74537,0.62779,0.68399,0.41633,1.70117,1.39527,1.84196,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,47604.4,0.73111,0.43838,1.022,0.74997,0.62115,0.68336,0.41699,1.70245,1.40144,1.8452,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
