frame,crack_count,crack_bbox_area_px,frame_area_px,crack_density_pct,crack_length_px
frame_000071.jpg,1,30208.3,8294400.0,0.3642,381.9
frame_000072.jpg,3,140800.8,8294400.0,1.6975,1458.7
frame_000073.jpg,3,88551.3,8294400.0,1.0676,1090.3
frame_000074.jpg,2,311941.0,8294400.0,3.7609,1917.8
frame_000075.jpg,1,172079.0,8294400.0,2.0746,1059.6
frame_000076.jpg,1,80051.5,8294400.0,0.9651,639.9
frame_000077.jpg,1,148838.4,8294400.0,1.7944,921.6
frame_000078.jpg,1,60246.9,8294400.0,0.7264,511.0
frame_000079.jpg,1,10206.0,8294400.0,0.123,103.3
frame_000080.jpg,1,53218.1,8294400.0,0.6416,538.1
frame_000081.jpg,0,0.0,8294400.0,0.0,0.0
frame_000082.jpg,2,89098.1,8294400.0,1.0742,1021.3
frame_000083.jpg,2,200339.3,8294400.0,2.4154,1547.2
frame_000084.jpg,3,143612.1,8294400.0,1.7314,1447.3
frame_000085.jpg,2,111925.8,8294400.0,1.3494,1162.2
frame_000086.jpg,2,100894.6,8294400.0,1.2164,1099.9
frame_000087.jpg,3,182885.5,8294400.0,2.2049,1564.7
frame_000088.jpg,2,104690.1,8294400.0,1.2622,1211.9
frame_000089.jpg,3,106517.7,8294400.0,1.2842,1245.7
frame_000090.jpg,2,78589.3,8294400.0,0.9475,909.9
frame_000091.jpg,2,34798.9,8294400.0,0.4195,500.4
frame_000092.jpg,1,45196.8,8294400.0,0.5449,513.6
frame_000093.jpg,1,49630.0,8294400.0,0.5984,518.6
frame_000094.jpg,2,85231.5,8294400.0,1.0276,909.8
frame_000095.jpg,2,60101.4,8294400.0,0.7246,741.4
frame_000096.jpg,1,13904.6,8294400.0,0.1676,217.6
frame_000097.jpg,1,80970.4,8294400.0,0.9762,761.0
frame_000098.jpg,1,26176.7,8294400.0,0.3156,338.2
frame_000099.jpg,0,0.0,8294400.0,0.0,0.0
frame_000100.jpg,0,0.0,8294400.0,0.0,0.0
frame_000101.jpg,0,0.0,8294400.0,0.0,0.0
frame_000102.jpg,0,0.0,8294400.0,0.0,0.0
frame_000103.jpg,0,0.0,8294400.0,0.0,0.0
frame_000104.jpg,1,26459.1,8294400.0,0.319,301.7
frame_000105.jpg,0,0.0,8294400.0,0.0,0.0
frame_000106.jpg,0,0.0,8294400.0,0.0,0.0
frame_000107.jpg,0,0.0,8294400.0,0.0,0.0
frame_000108.jpg,2,127183.9,8294400.0,1.5334,1157.9
frame_000109.jpg,1,130114.6,8294400.0,1.5687,1006.3
frame_000110.jpg,0,0.0,8294400.0,0.0,0.0
frame_000111.jpg,0,0.0,8294400.0,0.0,0.0
frame_000112.jpg,0,0.0,8294400.0,0.0,0.0
frame_000113.jpg,2,25328.2,8294400.0,0.3054,336.0
frame_000114.jpg,1,58806.9,8294400.0,0.709,521.8
frame_000115.jpg,2,253954.1,8294400.0,3.0618,1699.1
frame_000116.jpg,2,72244.4,8294400.0,0.871,740.6
frame_000117.jpg,2,71374.9,8294400.0,0.8605,711.1
frame_000118.jpg,3,115777.7,8294400.0,1.3959,1178.1
frame_000119.jpg,4,216367.1,8294400.0,2.6086,2044.1
frame_000120.jpg,1,70392.0,8294400.0,0.8487,628.5
frame_000121.jpg,4,146174.9,8294400.0,1.7623,1523.3
frame_000122.jpg,3,231939.9,8294400.0,2.7963,1952.8
frame_000123.jpg,2,110767.9,8294400.0,1.3355,1042.2
frame_000124.jpg,2,249252.0,8294400.0,3.0051,1660.3
frame_000125.jpg,1,20822.6,8294400.0,0.251,309.4
frame_000126.jpg,1,63379.0,8294400.0,0.7641,672.1
frame_000127.jpg,1,143467.5,8294400.0,1.7297,1043.4
frame_000128.jpg,1,26203.4,8294400.0,0.3159,373.8
frame_000129.jpg,2,104191.6,8294400.0,1.2562,1041.1
frame_000130.jpg,2,244979.1,8294400.0,2.9535,1824.7
frame_000131.jpg,1,136228.9,8294400.0,1.6424,1010.6
frame_000132.jpg,2,151202.2,8294400.0,1.8229,1171.5
frame_000133.jpg,3,351043.3,8294400.0,4.2323,2554.4
frame_000134.jpg,2,178687.6,8294400.0,2.1543,1397.3
frame_000135.jpg,2,94567.3,8294400.0,1.1401,921.4
frame_000136.jpg,1,67000.0,8294400.0,0.8078,610.2
frame_000137.jpg,1,32935.4,8294400.0,0.3971,377.7
frame_000138.jpg,1,33418.0,8294400.0,0.4029,431.2
frame_000139.jpg,0,0.0,8294400.0,0.0,0.0
frame_000140.jpg,0,0.0,8294400.0,0.0,0.0
frame_000141.jpg,1,72460.8,8294400.0,0.8736,666.0
frame_000142.jpg,1,8925.0,8294400.0,0.1076,184.4
frame_000143.jpg,1,73142.8,8294400.0,0.8818,685.5
frame_000144.jpg,0,0.0,8294400.0,0.0,0.0
frame_000145.jpg,0,0.0,8294400.0,0.0,0.0
frame_000146.jpg,0,0.0,8294400.0,0.0,0.0
frame_000147.jpg,0,0.0,8294400.0,0.0,0.0
frame_000148.jpg,1,34533.1,8294400.0,0.4163,447.9
frame_000149.jpg,0,0.0,8294400.0,0.0,0.0
frame_000150.jpg,1,10023.3,8294400.0,0.1208,166.5
frame_000151.jpg,0,0.0,8294400.0,0.0,0.0
frame_000152.jpg,0,0.0,8294400.0,0.0,0.0
frame_000153.jpg,0,0.0,8294400.0,0.0,0.0
frame_000154.jpg,1,54221.1,8294400.0,0.6537,515.9
frame_000155.jpg,1,154202.3,8294400.0,1.8591,1024.6
frame_000156.jpg,0,0.0,8294400.0,0.0,0.0
frame_000157.jpg,0,0.0,8294400.0,0.0,0.0
frame_000158.jpg,0,0.0,8294400.0,0.0,0.0
frame_000159.jpg,0,0.0,8294400.0,0.0,0.0
frame_000160.jpg,1,13695.2,8294400.0,0.1651,212.0
frame_000161.jpg,1,59005.8,8294400.0,0.7114,602.1
frame_000162.jpg,2,178624.1,8294400.0,2.1536,1375.7
frame_000163.jpg,4,168304.9,8294400.0,2.0291,1574.9
frame_000164.jpg,1,67631.8,8294400.0,0.8154,608.2
frame_000165.jpg,3,127248.8,8294400.0,1.5342,1060.2
frame_000166.jpg,3,286774.4,8294400.0,3.4574,1340.3
frame_000167.jpg,4,370433.1,8294400.0,4.4661,2029.1
frame_000168.jpg,1,26385.0,8294400.0,0.3181,351.8
frame_000169.jpg,1,90236.4,8294400.0,1.0879,728.3
frame_000170.jpg,0,0.0,8294400.0,0.0,0.0
frame_000171.jpg,0,0.0,8294400.0,0.0,0.0
frame_000172.jpg,0,0.0,8294400.0,0.0,0.0
frame_000173.jpg,0,0.0,8294400.0,0.0,0.0
